,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
seq1,521,25199,576,199,752,557,7357,10585,74,120,518,208,2512,466,1796,275,488,48,70,87,15,102,1286,0,0,0,16,19,18,4188,14883,12684,1575,1840,10871,33641,42310,21816,39305,2463,18142,2572,3277,3221,1459,807,3321,559,789,47,191,154,1563,472,1080,5051,96,1617,1332,27572,6026,195,400,670,556,8285,18488,184,521,722,24,6511,7959,1019,60,413,41,4270,1619,28,163,162,737
seq2,118,0,502,84,328,2855,0,936,711,897,2468,510,25261,1997,4574,6667,9628,2648,7779,16039,4834,7553,5459,1999,1179,4612,6624,7113,9290,0,0,110,214,473,245,10112,21645,588,455,1253,15968,2821,1081,1227,716,511,836,897,227,85,150,3056,4946,147,485,0,5110,2205,2331,0,0,3815,31336,2651,7153,0,0,166,2807,1709,1628,0,112,199,372,5379,576,434,0,0,5592,891,5421
seq3,99,57,10879,412,11042,36140,436,6104,4286,4612,2832,43,1204,48,4281,681,768,0,19,100,0,0,1869,1457,4271,2911,19260,2771,2207,267,281,1354,19121,14999,1517,120,493,108,73,1395,695,6422,2385,1900,474,1603,313,3001,536,206,56,266,87,198,1643,129,0,274,191,6734,3889,5468,4554,2224,9128,4484,4277,3211,1983,8254,2788,5279,6996,1777,1160,911,2215,7473,1581,527,1531,332,1391
seq4,90,9299,7942,3404,979,12230,645,11889,379,6345,17246,193,2350,52,2157,1677,896,232,46,760,0,416,877,593,1071,2746,519,966,3360,27096,431,3378,2536,5185,20590,519,215,2830,0,845,2022,4731,2087,1855,160,1021,92,0,282,1223,0,954,51,878,2229,2009,1532,2427,6788,2514,238,166,542,667,1294,18412,5157,68,145,284,378,6318,751,370,13,441,398,0,29,23,113,77,233
seq5,0,0,212,0,182,0,0,0,1415,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,38,369,0,0,47,53,19,61,123,281,1002,238,0,0,124,0,17,0,42,24,0,0,179,58,87,0,0,49,396,123,0,54,0,0,81,36759,110,54721,0,0,525,864,48193,93,27,212,58,0,4481,132
seq6,165,1473,1175,145,2057,1172,574,1890,67,141,192,1264,1792,730,1468,525,68,30,46,79,147,407,424,0,16,65,945,102,123,5768,76,271,5028,2055,2977,1332,1241,3082,4881,8418,4685,2154,3215,4747,1933,7082,6650,1503,1276,3764,15879,5635,4660,221,344,1028,1842,1674,285,5204,340,249,295,508,2329,266,856,3138,730,493,1390,380,348,202,0,203,880,5863,623,0,2048,574,411
seq7,156,748,1821,3156,3367,17643,6,535,1426,3173,19339,0,102,370,930,565,419,55,62,17,45,36,8606,86,18,10,5152,74,538,0,0,0,480,1703,6682,38,352,36,0,396,570,573,44,532,329,0,307,0,24,19,1400,1903,457,270,492,266,640,1343,18058,0,0,374,4067,5025,1258,0,0,114,5500,830,0,0,404,0,115,857,1126,526,637,0,778,156,0
seq8,777,34841,859,361,4319,3193,197,781,496,632,915,2619,154,119,388,326,68,565,348,90,404,280,261,774,105,53,259,679,88,991,0,219,667,241,571,60,293,1288,190,113,455,383,593,2856,641,190,280,452,180,690,3327,1073,5135,1008,597,562,874,584,743,146,238,891,2559,1088,3141,99,1398,0,2009,444,316,1546,937,289,108,1701,933,6347,0,0,819,83,152
seq9,0,168,364,77,132,166,0,369,28,0,52,4632,6028,1350,950,523,317,2057,8291,2006,818,801,1320,257,1628,1152,77,356,1088,0,132,978,403,154,377,489,1060,621,277,259,511,201,1440,515,172,595,152,1587,6181,3018,693,613,1441,696,211,20619,224,459,1099,1274,845,397,130,96,133,610,2596,158,104,179,62,1668,2182,4115,22,164,145,1838,1176,0,93,294,962
seq10,62,2526,1561,618,495,1247,415,2593,193,306,1024,49,1900,277,515,653,993,19,267,593,46,63,2692,0,23,711,111,83,409,239,12561,16038,853,437,4055,1338,827,1875,1337,1236,2700,484,2334,1202,1161,662,1275,187,269,203,222,226,500,141,729,450,100,1471,360,2168,1353,1145,1714,405,334,95,863,402,275,422,73,241,680,1052,8,130,92,33,123,33,0,89,226
